Sample	Gene	Identity(%)	Coverage	Subject	AlignLen
GCA_000008865.2_GCA_000008865.2_ASM886v2_genomic_hits	Z2098	100.0	1.0	BA000007.3	200
GCA_000008865.2_GCA_000008865.2_ASM886v2_genomic_hits	eae	100.0	1.0	BA000007.3	91
GCA_000008865.2_GCA_000008865.2_ASM886v2_genomic_hits	espK	100.0	1.0	BA000007.3	176
GCA_000008865.2_GCA_000008865.2_ASM886v2_genomic_hits	espN	100.0	1.0	BA000007.3	181
GCA_000008865.2_GCA_000008865.2_ASM886v2_genomic_hits	espV	100.0	1.0	BA000007.3	178
GCA_000008865.2_GCA_000008865.2_ASM886v2_genomic_hits	stx1	100.0	1.0	BA000007.3	112
GCA_000008865.2_GCA_000008865.2_ASM886v2_genomic_hits	stx2	100.0	1.0	BA000007.3	83
GCA_000008865.2_GCA_000008865.2_ASM886v2_genomic_hits	ureD	100.0	1.0	BA000007.3	188
GCA_000010745.1_GCA_000010745.1_ASM1074v1_genomic_hits	Z2098	100.0	1.0	AP010958.1	200
GCA_000010745.1_GCA_000010745.1_ASM1074v1_genomic_hits	eae	100.0	1.0	AP010958.1	91
GCA_000010745.1_GCA_000010745.1_ASM1074v1_genomic_hits	espK	99.43	1.0	AP010958.1	176
GCA_000010745.1_GCA_000010745.1_ASM1074v1_genomic_hits	espN	100.0	1.0	AP010958.1	181
GCA_000010745.1_GCA_000010745.1_ASM1074v1_genomic_hits	espV	98.84	0.972	AP010958.1	173
GCA_000010745.1_GCA_000010745.1_ASM1074v1_genomic_hits	stx1	100.0	1.0	AP010958.1	112
GCA_000010745.1_GCA_000010745.1_ASM1074v1_genomic_hits	stx2	100.0	1.0	AP010958.1	83
GCA_000010745.1_GCA_000010745.1_ASM1074v1_genomic_hits	ureD	99.47	1.0	AP010958.1	188
GCA_000010765.1_GCA_000010765.1_ASM1076v1_genomic_hits	Z2098	100.0	1.0	AP010960.1	200
GCA_000010765.1_GCA_000010765.1_ASM1076v1_genomic_hits	eae	100.0	1.0	AP010960.1	91
GCA_000010765.1_GCA_000010765.1_ASM1076v1_genomic_hits	espK	100.0	1.0	AP010960.1	176
GCA_000010765.1_GCA_000010765.1_ASM1076v1_genomic_hits	espN	100.0	1.0	AP010960.1	181
GCA_000010765.1_GCA_000010765.1_ASM1076v1_genomic_hits	espV	98.84	0.972	AP010960.1	173
GCA_000010765.1_GCA_000010765.1_ASM1076v1_genomic_hits	stx1	100.0	1.0	AP010960.1	112
GCA_000010765.1_GCA_000010765.1_ASM1076v1_genomic_hits	stx2	100.0	1.0	AP010960.1	83
GCA_000010765.1_GCA_000010765.1_ASM1076v1_genomic_hits	ureD	100.0	1.0	AP010960.1	188
GCA_000021125.1_GCA_000021125.1_ASM2112v1_genomic_hits	Z2098	100.0	1.0	CP001164.1	200
GCA_000021125.1_GCA_000021125.1_ASM2112v1_genomic_hits	eae	100.0	1.0	CP001164.1	91
GCA_000021125.1_GCA_000021125.1_ASM2112v1_genomic_hits	espK	100.0	1.0	CP001164.1	176
GCA_000021125.1_GCA_000021125.1_ASM2112v1_genomic_hits	espN	100.0	1.0	CP001164.1	181
GCA_000021125.1_GCA_000021125.1_ASM2112v1_genomic_hits	espV	100.0	1.0	CP001164.1	178
GCA_000021125.1_GCA_000021125.1_ASM2112v1_genomic_hits	stx2	100.0	1.0	CP001164.1	83
GCA_000021125.1_GCA_000021125.1_ASM2112v1_genomic_hits	ureD	100.0	1.0	CP001164.1	188
GCA_000022225.1_GCA_000022225.1_ASM2222v1_genomic_hits	Z2098	100.0	1.0	CP001368.1	200
GCA_000022225.1_GCA_000022225.1_ASM2222v1_genomic_hits	eae	100.0	1.0	CP001368.1	91
GCA_000022225.1_GCA_000022225.1_ASM2222v1_genomic_hits	espK	100.0	1.0	CP001368.1	176
